T01	3m20cm-3m10cm-□mm=5mm	□kg=95000g
T02	2kg+500g+□g=3kg200g	□m=700000mm
T03	12kg+1kg500g+□g=13kg700g	720000秒=□時間
T04	2時間30分-□時間=90分	□km=1000m
T05	1日-□分=23時間20分	40000mm=□m
T06	3日-□秒-71時間59分30秒=7秒	23000g=□kg
T07	23時間30分+29分+60秒=□日	□km=1000m
T08	1日+23時間15分+□分+120秒=2日	43000m=□km
T09	1km-1m-1cm-1mm=□mm	□kg=998989000g
T10	3m20cm-5cm2mm-20cm8mm+□cm=312cm	□km=18000m
T11	1日-1時間-1分-1秒=□秒	297860400秒=□時間
T12	1kg-1g=□g	□日=23976時間
T13	□日-1時間-1分-1秒=82739秒	1000g=□kg
T14	4km-3995m-480cm-□mm=20cm	□km=0m
T15	12m30cm-7m43cm-45cm2mm-□mm=3m80cm	14832時間=□日
T16	0m+□km=0mm	0g=□kg
T17	24時間+□分=1日	□日=0時間
T18	4cm3mm+□km+5mm=48mm	0分=□時間
T19	□分+24時間+7日+14分34秒=777634秒	□日=2053440分
T20	122日+20時間35分24秒=□秒	10614924000g=□kg
T21	240km-218987m-8780cm-77648mm=□mm	□日=500341248時間
T22	120分+46分-□分=1時間19分	720分+9300分-4800分=□時間
T23	100kg+32kg-36kg=□kg	296mg-100mg-□mg=100mg
T24	533448650mm-□km-52122650mm=203326000mm	270840秒+□時間+683832秒=22日15時間11分12秒
T25	83m+□m+130m=626m	137km260m55cm2mm+377910000mm-□km=102km170m55cm2mm
T26	1000kg+1000kg-1609kg=□kg	4時間+3時間14分-43分=□分
T27	704kg720g-235kg-4kg720g=□kg	1425日-480日-480日=□日
T28	24629793500mg+4359473400mg-12783kg266g900mg=□kg	□kg=16206000000mg
T29	789m-250m-244m=□m	275210g+□kg+126380g=696590g
T30	625cm-□cm-300cm=1m	219km100m+□km+153km=597100m
T31	1564200g-498kg-404200g=□kg	331日3時間34分+658日20時間58分-□日=328日32分
T32	219kg645g600mg-□kg=66kg645g600mg	148387424mm+□km=301387424mm
T33	57m+10460cm+□m=32360cm	10cm+□mm=26cm2mm
T34	1437日3時間9分-□日-31733100秒=7071840秒	1157700分+748680分-□日=483660分
T35	4608816秒+□日=67940016秒	50cm+1000mm-□mm=76cm7mm
T36	220kg300g+60kg355g-□kg=50655g	□km+127km501m10cm=357501100mm
T37	5088分+4日3時間-5508分=□時間	137651880mg-28kg300g290mg-□kg=17kg351g590mg
T38	72460m-□km=4km460m	18時間14分+2日3時間40分+□時間=496440秒
T39	12000mg+28g-□g=0mg	98km125m71cm-3831300cm-1981271cm=□km
T40	55220mm+389910mm+□m=1km25m13cm	1604904秒+1957249秒-□時間=17日1時間29分13秒
1	□日=0秒	0g-□g=0g
2	0mg+□mg+0mg=0g	□kg=0kg
3	0kg-0g-□kg=0mg	0mg-0kg-□kg=0kg
4	1mm-1mm-□km=0cm	□cm+0mm=0mm
5	1mm-1mm-□mm=0km	0mm-0km-□km=0km
6	10cm-10cm-0cm=□cm	1m+1m-□m=2m
7	1日18時間10分-□日=18時間10分	11m-10m-□m=0m
8	20mg-□mg=10mg	□分=10分
9	37mm+1m-1m=□mm	0m+10m+□cm=10m37cm
10	5時間24分-□時間=2時間24分	□km+1km40m15cm7mm=4km40m15cm7mm
11	□m+18m21cm=43m21cm	1時間+□分=1時間25分
12	34分47秒-□分=13分47秒	1日19時間12分-11時間-□時間=11時間12分
13	7時間36秒+□時間+4時間41分12秒=22時間41分48秒	5日+24日-□日=18日
14	34cm-□mm=5cm1mm	3時間50分+2時間37秒-□分=1時間1分37秒
15	32日9時間23分-2日20時間59分-□日=5日12時間24分	1m+□cm=1m24cm
16	□日+0日+0秒=0時間	60時間+0日-□日=60時間
17	30g+40g-36g=□g	30kg+□kg+10kg=74kg
18	1m+30cm-77cm9mm=□mm	□秒=8分41秒
19	8kg+80kg-□kg=18kg	1日16時間18分+2日20時間32分-1日14時間50分=□時間
20	□kg+30kg=62kg	60日+60日-□日=88日
21	86g90mg-□g=22g90mg	9日16時間-48時間-5日=□時間
22	2時間+□分+96分=5時間3分	65日1時間47分36秒+55日19時間54分-33日21時間41分36秒=□日
23	□cm+60mm=98cm	□分=1時間32分
24	96分+2時間24分+□時間=9時間	3g+100g-98g=□g
25	72分+24分-□分=32分	0mg+100mg-36mg=□mg
26	100mg-□mg-100mg=0g	0mg+1mg-1mg=□kg
27	24時間+1時間-□時間=23時間	100cm+10m+□cm=11m2cm
28	□日+0日=0秒	100kg+1kg+□kg=101kg
29	104m-□m-30m=35m	34kg+20kg-□kg=15kg
30	100mm+10mm-110mm=□cm	0m+0mm-0m=□km
31	34g-□g=15g	30cm2mm-□cm=112mm
32	2日12時間+□時間+120時間=9日3時間	□m+40m=79m
33	□cm+10cm+100mm=71cm	135分-□分-60分=24分
34	142日1時間22分-46日17時間2分-□日=44日8時間20分	1cm+55mm-14mm=□mm
35	75日+151日17時間-□日=63日17時間	13cm8mm+1m-□mm=97cm5mm
36	165分-1時間-48分=□分	29日+□日+49日13時間29分=135日13時間29分
37	64g-□g=17g	167m-□m-20m=100m
38	10日21時間-120時間-□時間=3日	□g+100g=169g
39	□m=108m	□日+69日=177日
40	1m32cm7mm-177mm-□cm=12cm	103日=□日
41	100m+1km-1km58m=□m	192cm-1m-□cm=50cm
42	193時間-□時間=5日	2分+29秒-□秒=1分16秒
43	202cm-90cm-□cm=22cm	1m40cm-□cm=50cm
44	194g+207g+□g=1kg198g	26分17秒-3分-10分=□秒
45	60g+□g=128g	100g+40g+□g=208g
46	179秒-□秒=120秒	219日-□日-40日=120日
47	14日16時間+1日13時間-7日13時間=□時間	258m+50m-100m=□m
48	6km+45km-□km=23km	264mm+1m-□cm=98cm4mm
49	268日-95日-72日=□日	2cm5mm+□mm+100mm=226mm
50	□mg+48mg=159mg	269mm-100mm-□mm=5cm8mm
51	100mg+□mg=276mg	216g+80g-□g=120g
52	120日+□日+120日=281日	□cm=41cm
53	□時間+2日2時間28分+2日6時間24分6秒=8日15時間52分6秒	60時間+□時間+5日=283時間
54	2時間27分3秒+1時間32分-43分3秒=□分	286kg-□kg=90kg
55	□g+100g+100g=289g	20kg+□kg=109kg
56	269日=□日	293時間-□時間=1日
57	□時間+23時間+3日19時間=10日20時間	130kg+21kg+□kg=297kg
58	300分=□時間	14秒-4秒-5秒=□秒
59	□mm+20cm6mm+300mm=75cm7mm	10日11時間=□時間
60	21日14時間40分-□時間=9日15時間40分	154時間+307時間-□時間=7日6時間
61	327mg-57mg-100mg=□mg	260m-□m-0mm=90m
62	□m+2m30cm4mm=335m30cm4mm	5時間5分+□分+2時間11分=12時間49分
63	18時間56分+□時間+1日22時間=9日22時間56分	337km326m-□km=163km326m
64	10m+70cm-9m=□cm	340kg157g320mg-36kg71g20mg-□kg=134kg86g300mg
65	6日11時間+3日10時間24分-4日6時間24分=□時間	104日7時間33分36秒+104日5時間28分+□日=343日13時間1分36秒
66	122日6時間51分-□日=5日6時間51分	357分-120分-120分=□分
67	200m+200m-□m=37m	190g+360g-□g=187g
68	2日12時間+360時間-□日=60時間	□mg+100mg=115mg
69	1m+10cm-71cm=□cm	36g365mg+26g-23g365mg=□g
70	374mm+20cm8mm-207mm=□mm	30cm+90cm+□cm=4m95cm
71	□秒+120秒+6分=13分48秒	200km+392km-244km=□km
72	344mg-66mg-118mg=□mg	406分-□分-126分=120分
73	30g+442g-□g=230g	1kg+□g=1kg242g
74	366km-150km-52km=□km	123m+155m40cm+□m=442m40cm
75	40g+□g+1kg=1kg444g	2m+70cm+□cm=6m74cm
76	470cm-□m-100cm=1m70cm	□時間=2時間
77	474m-□m-100m=90m	1分+□秒+1分40秒=7分24秒
78	474mg-□mg=200mg	209日11時間32分+□日=483日11時間32分
79	6日14時間=□時間	42g500mg+□g=200g500mg
