T00	1,5,0	0
T01	3,10,0	1
T02	3,10,1	1
T03	3,10,2	0
T04	99,101,0	3
T05	44,47,0	0
T06	65,68,4	0
T07	11,197,0	28
T08	75,282,1	141
T09	327,613,0	59
T10	2164,2628,7	97
T11	1766,2962,2	1303
T12	6361,11230,2	1408
T13	2486,6359,0	1177
T14	8596,38338,7	11945
T15	74734,134542,0	33961
T16	35477,233687,6	99529
T17	57717,732021,7	371649
T18	1188295,1249712,2	84100
T19	1469212,3488445,8	1215635
T20	1971725,2661431,9	374216
T21	3612664,11115935,9	5550993
T22	14021897,25915307,0	8125192
T23	16293079,79748373,0	44031581
T24	28956229,51465735,0	16553801
T25	248756187,326622620,3	81348604
T26	496085002,813777251,0	262561749
T27	281965927,449705381,2	155699961
T28	1590046604,5080813125,4	4093479299
T29	1469893985,5806174047,2	4865742016
T30	10729668540,17385889964,9	6019040872
T31	18441674861,20552568857,5	1942654772
T32	20943752548,37404293118,8	15772376218
T33	89760914524,252602641040,8	172818046478
T34	372685143205,614738979818,0	271847213926
T35	311092013160,715558286719,8	443966022456
T36	877055283034,1133075167341,0	386433827635
T37	3577552059505,5721254585526,0	2564361501302
T38	4331884268509,7172807178391,9	3420845753971
T39	10780555984037,13077075322734,3	2803888910108
T40	11143750221034,57629812742206,9	59736266200544
T41	29685680401357,40863763369545,4	15261031155724
T42	64950491092189,162957102289964,4	136656405514980
T43	285614939702627,671352472291019,0	541907823592872
T44	1632688493048891,1807370260549929,4	247551524502452
T45	1090991911151983,3757645126492252,9	3934937225560395
T46	6429165733121302,6728431846418458,0	419096488948133
T47	10833228364507232,15236979472080112,7	6564530459749872
T48	1,100000000000000000,9	170000000000000000
T49	1,100000000000000000,0	158888888888888906
0	1,3,1	1
1	1,4,0	0
2	2,5,6	0
3	1,9,1	1
4	3,8,3	1
5	2,8,0	0
6	3,12,6	1
7	1,14,0	1
8	3,11,5	1
9	13,22,2	4
10	11,45,1	13
11	16,24,6	1
12	21,25,0	0
13	60,63,0	1
14	33,36,0	0
15	71,86,8	8
16	14,72,1	2
17	42,80,0	4
18	41,183,8	28
19	13,168,8	26
20	95,251,0	36
21	218,225,6	0
22	27,70,0	5
23	237,262,5	12
24	218,295,7	17
25	193,201,9	18
26	16,37,1	6
27	144,218,9	27
28	428,644,5	141
29	495,630,0	34
30	225,547,9	62
31	316,830,7	202
32	558,960,9	141
33	85,309,9	53
34	743,889,0	24
35	792,1433,4	158
36	215,445,9	43
37	359,1103,0	249
38	1132,1974,0	164
39	789,2302,0	505
40	1508,1817,0	63
41	224,921,0	140
42	1308,1500,1	232
43	2210,2270,0	7
44	1428,2375,1	857
45	208,3459,0	947
46	2896,4316,2	586
47	556,4467,0	1181
48	3239,5202,0	590
49	204,3419,0	947
50	4380,4668,0	59
51	5546,6282,5	661
52	4727,5056,6	63
53	505,6317,9	1761
54	1056,6943,0	1723
55	6284,9149,0	876
56	538,6342,7	1760
57	1544,2661,0	322
58	453,3736,4	996
59	6896,8536,3	531
60	4114,8296,8	1535
61	1198,6408,0	1550
62	6943,7875,8	259
63	9596,12609,1	4511
64	6211,19382,9	5300
65	2411,4896,9	695
66	19703,22331,1	2130
67	10352,15420,4	2528
68	1004,21684,2	9923
69	13381,24271,7	4271
70	9816,21266,0	5485
71	23758,33062,0	3824
72	12598,33781,6	8438
73	28177,38798,8	4755
74	33116,38450,0	1564
75	37666,39789,6	661
76	14620,33842,7	7842
77	8125,28391,0	8047
78	1301,30107,0	10775
79	6013,28624,0	8808
80	17467,49444,3	22598
81	10416,18923,5	3601
82	28221,67219,0	15699
83	12384,55556,0	16937
84	32688,75394,4	27741
85	15581,87088,3	38401
86	63542,83837,2	8060
87	57659,84764,2	11121
88	68508,108156,9	25925
89	109354,117914,9	3177
90	16618,97218,9	39439
91	13354,15648,9	659
92	25202,130933,2	56550
93	83395,97341,0	5195
94	53919,106969,6	31885
95	86378,141291,0	32482
96	37289,64305,0	11108
97	89564,140788,2	30342
98	26016,30547,0	1935
99	47709,78719,4	14592
100	21751,68979,0	18142
101	39204,136294,0	49115
102	129687,204262,2	34957
103	87852,236219,0	79576
104	8083,258407,0	120087
105	43166,125987,0	42762
106	224758,320674,0	48457
107	41873,287841,0	117797
108	85918,86456,6	561
109	83527,267652,8	89696
110	204972,368823,9	75103
111	67370,319453,4	120672
112	182492,286120,0	51133
113	359341,485747,0	60880
114	84603,144612,4	28624
115	209863,583268,0	180217
116	31481,527447,0	247796
117	59824,561936,0	251621
118	496876,554665,0	33359
119	162275,587787,3	310701
120	372705,690028,0	156225
121	87534,675074,0	295279
122	764061,775607,6	10361
123	304746,420948,9	56889
124	199331,393584,0	98245
125	288292,935605,0	329168
126	232678,955354,8	458838
127	285569,472572,4	166673
128	633636,635889,2	655
129	860216,1075129,4	106481
130	781093,1202989,2	212559
131	426470,1286869,4	507640
132	743009,1219685,3	231029
133	87665,1234967,0	679160
134	840555,902394,2	24959
135	991245,1207816,2	114779
